Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste,ChristmasTree
Custom,01/06/21,W,0,W,0,0
Custom,01/13/21,W,W,0,0,0
Custom,01/20/21,W,0,W,0,0
Custom,01/27/21,W,W,0,0,0
Custom,02/03/21,W,0,W,0,0
Custom,02/10/21,W,W,0,0,0
Custom,02/17/21,W,0,W,0,0
Custom,02/24/21,W,W,0,0,0
Custom,03/03/21,W,0,W,0,0
Custom,03/10/21,W,W,0,W,0
Custom,03/17/21,W,0,W,0,0
Custom,03/24/21,W,W,0,W,0
Custom,03/31/21,W,0,W,0,0
Custom,04/07/21,W,W,0,W,0
Custom,04/14/21,W,0,W,0,0
Custom,04/21/21,W,W,0,W,0
Custom,04/28/21,W,0,W,0,0
Custom,05/05/21,W,W,0,W,0
Custom,05/12/21,W,0,W,0,0
Custom,05/19/21,W,W,0,W,0
Custom,05/26/21,W,0,W,0,0
Custom,06/02/21,W,W,0,W,0
Custom,06/09/21,W,0,W,0,0
Custom,06/16/21,W,W,0,W,0
Custom,06/23/21,W,0,W,0,0
Custom,06/30/21,W,W,0,W,0
Custom,07/07/21,W,0,W,0,0
Custom,07/14/21,W,W,0,W,0
Custom,07/21/21,W,0,W,0,0
Custom,07/28/21,W,W,0,W,0
Custom,08/04/21,W,0,W,0,0
Custom,08/11/21,W,W,0,W,0
Custom,08/18/21,W,0,W,0,0
Custom,08/25/21,W,W,0,W,0
Custom,09/01/21,W,0,W,0,0
Custom,09/08/21,W,W,0,W,0
Custom,09/15/21,W,0,W,0,0
Custom,09/22/21,W,W,0,W,0
Custom,09/29/21,W,0,W,0,0
Custom,10/06/21,W,W,0,W,0
Custom,10/13/21,W,0,W,0,0
Custom,10/20/21,W,W,0,W,0
Custom,10/27/21,W,0,W,0,0
Custom,11/03/21,W,W,0,W,0
Custom,11/10/21,W,0,W,0,0
Custom,11/17/21,W,W,0,W,0
Custom,11/24/21,W,0,W,0,0
Custom,12/01/21,W,W,0,W,0
Custom,12/08/21,W,0,W,0,0
Custom,12/15/21,W,W,0,0,0
Custom,12/22/21,W,0,W,0,0
Custom,12/29/21,W,W,0,0,0
Custom,01/05/22,W,0,W,0,0
Custom,01/12/22,W,W,0,0,0
Custom,01/19/22,W,0,W,0,0
Custom,01/26/22,W,W,0,0,0
Custom,02/02/22,W,0,W,0,0
Custom,02/09/22,W,W,0,0,0
Custom,02/16/22,W,0,W,0,0
Custom,02/23/22,W,W,0,0,0
Custom,03/02/22,W,0,W,0,0
Custom,03/09/22,W,W,0,W,0
Custom,03/16/22,W,0,W,0,0
Custom,03/23/22,W,W,0,W,0
Custom,03/30/22,W,0,W,0,0
Custom,04/06/22,W,W,0,W,0
Custom,04/13/22,W,0,W,0,0
Custom,04/20/22,W,W,0,W,0
Custom,04/27/22,W,0,W,0,0
Custom,05/04/22,W,W,0,W,0
Custom,05/11/22,W,0,W,0,0
Custom,05/18/22,W,W,0,W,0
Custom,05/25/22,W,0,W,0,0
Custom,06/01/22,W,W,0,W,0
Custom,06/08/22,W,0,W,0,0
Custom,06/15/22,W,W,0,W,0
Custom,06/22/22,W,0,W,0,0
Custom,06/29/22,W,W,0,W,0
Custom,07/06/22,W,0,W,0,0
Custom,07/13/22,W,W,0,W,0
Custom,07/20/22,W,0,W,0,0
Custom,07/27/22,W,W,0,W,0
Custom,08/03/22,W,0,W,0,0
Custom,08/10/22,W,W,0,W,0
Custom,08/17/22,W,0,W,0,0
Custom,08/24/22,W,W,0,W,0
Custom,08/31/22,W,0,W,0,0
Custom,09/07/22,W,W,0,W,0
Custom,09/14/22,W,0,W,0,0
Custom,09/21/22,W,W,0,W,0
Custom,09/28/22,W,0,W,0,0
Custom,10/05/22,W,W,0,W,0
Custom,10/12/22,W,0,W,0,0
Custom,10/19/22,W,W,0,W,0
Custom,10/26/22,W,0,W,0,0
Custom,11/02/22,W,W,0,W,0
Custom,11/09/22,W,0,W,0,0
